"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C5, C6, C7, C9","6","100n","PCM_Capacitor_THT_AKL:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"2","C3","1","47pF","PCM_Capacitor_THT_AKL:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"3","C4, C8, C10","3","22uF","PCM_Capacitor_THT_AKL:CP_Radial_D5.0mm_P2.00mm",""
"4","D1","1","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"5","D2, D4","2","LED_Small","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",""
"6","D3","1","1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"7","J1","1","IN","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm",""
"8","J2","1","led","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm",""
"9","J3","1","pin","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm",""
"10","J4","1","+9V","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm",""
"11","J5","1","GND","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm",""
"12","J6","1","UT","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm",""
"13","Q1","1","MPSA13","Package_TO_SOT_THT_AKL:TO-92_Inline_Wide_EBC",""
"14","Q2, Q3","2","2N3904","Package_TO_SOT_THT_AKL:TO-92_Inline_Wide_EBC",""
"15","Q4","1","2N3906","Package_TO_SOT_THT_AKL:TO-92_Inline_Wide_EBC",""
"16","R1, R3","2","1M","Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R2","1","100K","Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R4, R6, R7","3","10K","Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","R5, R8","2","470K","Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","R9","1","470R","Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","R10","1","4K7","Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","R11","1","330K","Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"23","RV1","1","bal","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm",""
"24","RV2","1","oct","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm",""
"25","RV3","1","lvl","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm",""
"26","SW1","1","FB","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm",""
